"trick","obstacledetail","obstacle","cnt"
"varial heelflip","plain jane","gap",1
"varial heelflip","plain jane","stairs",1
"varial heelflip to fs noseslide","plain jane","ledge",1
"wallie","over fence","curb",1
"wallie fs heeflip","plain jane","wall",1
"wallie to bs 5050","plain jane","flat rail",1
"wallie to bs boardslide","plain jane","handrail",1
"wallie to bs boardslide","triple drop","ledge",1
"wallie to bs crook","plain jane","ledge",1
"wallie to bs tailslide to bs kickflip","plain jane","ledge",1
"wallie to fs 5050","barrier","ledge",1
"wallie to fs crook","plain jane","ledge",1
"wallie to late bs bigspin","bump to gap","gap",1
"wallride to bs crook to nollie shuv","bank to wall to ledge","ledge",1
