week,date,rank,skater,trick,line,switch,stance,slowmo,replayed,slam,NY,oddball,obstacle,obstacledetail,location,notes,points,video,videotype,company,ig
42,10/21/22,7,Dubahn Machuca,kickflip to bs tailslide to shuv,,,regular,,,,,1,ledge,to stairs,,into stairs,4,Let Them Believe,company,Censorship,
42,10/21/22,6,Ben Tenner,varial heelflip to fs noseslide,,,regular,1,1,,,,ledge,,,triple replay,5,The Trail,company,Orchard Skateshop,
42,10/21/22,5,Sean Evans,sw bs kickflip to manual,1,1,switch,,,,,,pad,gap to pad,,,6,The Trail,company,Orchard Skateshop,
42,10/21/22,4,Karsten Kleppan,caveman to bs smith,,,regular,,,,,1,ledge,curved ledge,indoor park,,7,,,,1
42,10/21/22,3,Chris Pfanner,kickflip,,,regular,,1,1,,,gap,over rail into bank,,euramp,8,Cobblestrasse,solo,Spitfire,
42,10/21/22,2,Masaki Hongo,fs 5050 to bs 180,,,regular,,,,,1,flat rail,curved rail,,match with Kleppan flatrail trick,9,Hongo Brothers,company,DC Shoes,
42,10/21/22,1,Shintaro Hongo,ollie,,,regular,1,1,,,,gap,over rail into double bank,,,10,Hongo Brothers,company,DC Shoes,
43,10/28/22,10,Jahmir Brown,sw bs tailslide to sw shuv,1,1,switch,1,1,,,,ledge,,,,1,DC Shoes x Venture,company,DC Shoes x Venture,
43,10/28/22,9,Felipe Oliveira,fs crook,,,regular,,1,,,,ledge,,,,2,N'AQUA,solo,,
43,10/28/22,8,Hannah Tallman,kickflip,,,regular,,,,,,gap,,,woman,3,Bluebird,company,Calmcorp,
43,10/28/22,7,Mark Suciu,bs crook,1,,regular,,,,1,,ledge,,DIY park,,4,,,,1
43,10/28/22,6,Leo Baker,bs lipslide to shuv,1,,regular,1,1,1,1,,ledge,,,,5,Post-Op,company,Spitfire,
43,10/28/22,5,Spencer Semien,360 flip,1,,regular,,,,,,gap,over hydrant,,,6,Defiance,solo,Powell,
43,10/28/22,4,Will Marshall,nollie kickflip,,,nollie,,1,,,,gap,into bank,,,7,DC Shoes x Venture,company,DC Shoes x Venture,
43,10/28/22,3,Edourard Depaz,wallie to late bs bigspin,,,regular,,,,,,gap,bump to gap,Eiffel Tower,,8,Nothing Without Friends,company,Rave Skateboards,
43,10/28/22,2,Thaynan Costa,nollie fs 180 to sw bs crook to regular,,,nollie,1,,,,,ledge,outledge,,,9,KILLDEBOSS,solo,,
43,10/28/22,1,Tyshawn Jones,bs kickflip,,,regular,1,1,,1,,gap,up gap,NYC gap,,10,The General,solo,Hardies,
44,11/4/22,10,Stevie Williams,sw manual to sw 360 flip,,1,switch,,,,,,pad,,Pier 7,,1,Zeitgeist,company,DGK,
44,11/4/22,9,Nick Dias,360 flip,1,,regular,,1,,,,flat,,,triple replay,2,Zeitgeist,company,DGK,
44,11/4/22,8,Brian Delatorre,fs 5050 to fs 5050,,,regular,,1,,,,ledge,gap to ledge to ledge,,,3,Live & Direct,solo,Habitat,
44,11/4/22,7,Davis Sarvey,fs lipslide,,,regular,,,1,,,hubba,,,,4,MILO,homie,,
44,11/4/22,6,Liam McCabe,nollie bs kickflip,1,,nollie,,1,,1,,stairs,,,run that back turbo,5,HSS Video 2,company,Halloween Stickers Skateboards,
44,11/4/22,5,Max McLaughlin,ollie to deck bonk,,,regular,1,1,,,1,gap,,,,6,MILO,homie,,
44,11/4/22,4,Will Mazzari,fakie hardflip to sw fs 5-0,1, ,nollie,1,,,,,ledge,,Pulaski,,7,Zeitgeist,company,DGK,
44,11/4/22,3,Brian Reid,bs noseblunt to nollie fs shuv,,,regular,,,,1,,ledge,into bank,nyc courthouse,,8,Zeitgeist,company,DGK,
44,11/4/22,2,Billy Lukins,varial heelflip,,,regular,1,1,,,,flat,over block,melbourne museum,,9,RUNNER UP,company,Poolroom,
44,11/4/22,1,Toby Ryan,hardflip,,,regular,1,1,,,,gap,over wall,,,10,MILO,homie,,
45,11/11/22,10,Heitor Da Silva,hardflip to fakie,1,,regular,1,1,,,,transition,miniramp,,2 clips,1,Folkets,company,Adidas,
45,11/11/22,9,Stafhon Boca,sw fs kickflip,1,1,switch,,,,,,gap,bump to gap,,,2,You Deserve It,company,Alltimers,
45,11/11/22,8,Dana Ericson,fs noseblunt to nollie kickflip,,,regular,,,,,,ledge,,,,3,You Deserve It,company,Alltimers,
45,11/11/22,7,Aaron Loreth,nollie bs 180 to fakie manual to halfcab to manual to bs 180 to fakie manual,,,nollie,1,,,,,pad,pad to pad,PDX fountain,combo,4,Carpool,company,Stussy,
45,11/11/22,6,Salomon Cardenas,sw kickflip,,,switch,,,1,,,gap,into hill,,,5,You Deserve It,company,Alltimers,
45,11/11/22,5,Will Marshall,360 flip to bs noseslide,,,regular,,,,,,ledge,into bank,,,6,You Deserve It,company,Alltimers,
45,11/11/22,4,Cyrus Bennett,bs 5050 to kickflip transfer,,,regular,1,1,,1,,flat rail,up rail,,,7,HUF x NIKE SB,company,HUF x NIKE SB,
45,11/11/22,3,Elijah Odom,fs nosegrind,,,regular,,,,,,ledge,,,,8,You Deserve It,company,Alltimers,
45,11/11/22,2,Nick Matthews,bs smith,,,regular,1,1,,,,flat rail,bump to rail,,,9,HUF x NIKE SB,company,HUF x NIKE SB,
45,11/11/22,1,Zered Bassett,sw bs wallride hippie jump,,1,switch,1,,,,1,wall,bank to wall,,,10,You Deserve It,company,Alltimers,
46,11/18/22,10,Alexis Ramirez,ride-on fs crook,,,regular,1,1,,,,flat rail,tram tracks,,,1,Masaki Hongo & Alexis Ramirez for SK8MAFIA,company,SK8MAFIA,
46,11/18/22,9,Matt Finley,fs nosegrind,,,regular,1,1,,, ,ledge,curved ledge,,around corner,2,JAGEN,company,GX1000,
46,11/18/22,8,Cruise Mosberg,bs 180 to fakie manual to halfcab,,,regular,,,,,,pad,into bank,,,3,Rarity,homie,,
46,11/18/22,7,Jake Cortez,halfcab kickflip to manual to bs revert to fakie manual to fakie kickflip,,,fakie,,,,,,pad,,,,4,Rarity,homie,,
46,11/18/22,6,Masaki Hongo,late bs bigspin,,,regular,1,1,,,1,stairs,,,mindbender,5,Masaki Hongo & Alexis Ramirez for SK8MAFIA,company,SK8MAFIA,
46,11/18/22,5,Mitch Barrette,bs nosegrind to nollie heelflip,,,regular,,,,,,ledge,,,,6,,,,1
46,11/18/22,4,Willow Voges Fernandes,fs noseslide to fakie,,,regular,1,1,,,,ledge,into bank,,into stairs,7,JAGEN,company,GX1000,
46,11/18/22,3,Noah Nayef,bs bigfip,,,regular,,1,,,,stairs,,,quick feet,8,April,solo,April,
46,11/18/22,2,Ronnie Sandoval,bs bean plant,,,regular,,,,,,transition,concrete skatepark,,,9,Home Again,solo,Dickies,
46,11/18/22,1,Smiler Perez,nollie heelflip,,,nollie,,,1,,,flat,into bank,,,10,Rarity,homie,,
47,11/25/22,10,Ben Saint Aubin,bs tailslide to bs 270,,,regular,1,1,,,,ledge,outledge,,triple replay,1,Home Again,company,Blue Tile Lounge,
47,11/25/22,9,Vitoria Mendonça,heelflip to firecracker,,,regular,1,,,1,,gap,,max palmer fountain,woman,2,ESP Volume 2,company,Element,
47,11/25/22,8,Sean Greene,bs 360 to bs wallride,,,regular,1,,,,,wall,kicker to wall,,roll down door,3,Pescado,homie,Deep Fried,
47,11/25/22,7,Marcello Campanello,bs 270 cab to bs tail to bs shuv,1,,fakie,,,,1,,ledge,,citi field benches,,4,Maxallure,solo,Maxallure,
47,11/25/22,6,Casper Brooker,bs crook to hippie jump,,,regular,,,,,,flat rail,flat rail to gap,,,5,Atlantic Drift 12,solo,Atlantic Drift,
47,11/25/22,5,Madars Apse,nosegrind to wall ride,,,regular,1,1,,,1,ledge,up ledge,,,6,ESP Volume 2,company,Element,
47,11/25/22,4,Vinicius Costa,ollie,,,regular,,1,1,,,gap,rooftop,,quick feet,7,ESP Volume 2,company,Element,
47,11/25/22,3,Mason Colleti,fs kickflip,1,,regular,,,,,,stairs,,Yerba Buena,7 trick line,8,Pescado,homie,Deep Fried,
47,11/25/22,2,Eetu Toropainen,bs 180 to fakie manual to sw fs 5-0,,,regular,,1,,,,pad,pad to hubba,,combo,9,ESP Volume 2,company,Element,
47,11/25/22,1,Tyshawn Jones,sw ollie,,1,switch,,,,,,gap,over picnic table,,end of discussion,10,,,,1
48,12/2/22,10,Peter Stantchev,ollie to fs wallride,1,,regular,,,,,1,wall,,,,1,Horror Vacui,solo,,
48,12/2/22,9,John Clemmons,sw bs tailslide,,1,switch,,1,,,,ledge,into bank,,,2,Speed Trials,company,Darkroom,
